detuning,normalized_shg_proxy_Q_20,normalized_shg_proxy_Q_50,normalized_shg_proxy_Q_100,normalized_shg_proxy_Q_200
-0.04857715430861723,0.04385132955310268,0.0016536547508972919,0.00011012616566610735,7.035564416898718e-06
-0.048256513026052106,0.04477809569935771,0.0016962063222299435,0.00011305080274636246,7.223919261064941e-06
-0.04793587174348697,0.04572812053390032,0.0017401231928293257,0.00011607295831935769,7.418616235741995e-06
-0.047615230460921844,0.046702061963528975,0.0017854577821215232,0.0001191965516106035,7.619913186480995e-06
-0.04729458917835671,0.047700597870340346,0.0018322648498281606,0.00012242568641871105,7.828080265206059e-06
-0.04697394789579158,0.04872442672262232,0.001880601614913064,0.00012576466109296636,8.043400605684123e-06
-0.046653306613226454,0.04977426820222506,0.0019305278812987356,0.00012921797912032482,8.266171040967016e-06
-0.04633266533066132,0.05085086384860135,0.001982106170778371,0.0001327903603633581,8.496702865722062e-06
-0.04601202404809619,0.05195497771968356,0.0020354018635783872,0.00013648675299382407,8.735322646591434e-06
-0.04569138276553106,0.05308739706973634,0.0020904833470579325,0.00014031234616990068,8.982373083964499e-06
-0.04537074148296593,0.054248933044291375,0.0021474221730655055,0.0001442725835088058,9.238213928810175e-06
-0.0450501002004008,0.055440421392236656,0.0022062932245092387,0.00014837317741048833,9.503222958504158e-06
-0.04472945891783567,0.056662723195090206,0.002267174891736375,0.00015262012429238545,9.777797015895862e-06
-0.04440881763527054,0.05791672561344625,0.0023301492593595123,0.00015701972079991476,1.0062353116199082e-05
-0.044088176352705406,0.05920334265053015,0.002395302304212407,0.00016157858106244054,1.0357329626657957e-05
-0.04376753507014028,0.06052351593274387,0.0024627241051667728,0.0001663036550699556,1.0663187524339758e-05
-0.04344689378757515,0.061878215507022376,0.002532509065594022,0.0001712022482517109,1.0980411737842808e-05
-0.04312625250501002,0.06326844065475437,0.0026047561493122155,0.0001762820423445181,1.130951257918124e-05
-0.04280561122244489,0.0646952207219453,0.0026795691309195353,0.00018155111764553585,1.1651027272627306e-05
-0.042484969939879755,0.06615961596522012,0.002757056861481141,0.00018701797675204105,1.2005521587855707e-05
-0.04216432865731463,0.06766271841317026,0.00283733355060698,0.00019269156989907296,1.2373591585350716e-05
-0.0418436873747495,0.06920565274245503,0.0029205190660346286,0.00019858132201497653,1.275586548271006e-05
-0.041523046092184365,0.07078957716795557,0.003006739251913499,0.0002046971616248273,1.3153005651215069e-05
-0.04120240480961924,0.07241568434616226,0.003096126267075874,0.00021104955174258344,1.3565710752840627e-05
-0.0408817635270541,0.07408520229084989,0.0031888189446761975,0.00021764952290467978,1.3994718028759002e-05
-0.040561122244488976,0.07579939529995065,0.003284963174683943,0.00022450870851072145,1.4440805751355332e-05
-0.04024048096192385,0.07755956489238523,0.0033847123108275983,0.0002316393826510996,1.4904795852828734e-05
-0.039919839679358714,0.07936705075344401,0.0034882276037086503,0.00023905450061683633,1.5387556744611293e-05
-0.039599198396793586,0.08122323168713105,0.0035956786619355356,0.00024676774230389945,1.5890006343107953e-05
-0.03927855711422845,0.08312952657368598,0.003707243943269759,0.0002547935587428004,1.6413115318656405e-05
-0.038957915831663324,0.08508739533029062,0.0038231112779297223,0.0002631472220045987,1.695791058613915e-05
-0.0386372745490982,0.08709833987273342,0.003943478426364522,0.0002718448787567439,1.752547905736736e-05
-0.03831663326653306,0.08916390507556063,0.004068553673989768,0.0002809036077666425,1.811697167721191e-05
-0.037995991983967935,0.09128567972797343,0.0041985564655730775,0.000290341481677691,1.8733607767501906e-05
-0.0376753507014028,0.09346529748244471,0.0043337180821682395,0.00030017763341203305,1.937667970496476e-05
-0.03735470941883767,0.09570443779271623,0.004474282363726422,0.0003104323275867368,2.0047557961967637e-05
-0.037034068136272545,0.09800482683750676,0.0046205064807617454,0.00032112703736580727,2.0747696541565487e-05
-0.03671342685370741,0.10036823842589973,0.004772661758718222,0.00033228452720973596,2.1478638841392885e-05
-0.03639278557114228,0.10279649487999853,0.004931034558978027,0.0003439289420276409,2.224202398429116e-05
-0.03607214428857715,0.10529146789002551,0.005095927220769009,0.00035608590328480054,2.303959365727371e-05
-0.03575150300601202,0.10785507933659519,0.005267659068574453,0.0003687826126711136,2.387319950454412e-05
-0.035430861723446894,0.11048930207443179,0.005446567490023288,0.00038204796399425475,2.4744811124839843e-05
-0.03511022044088176,0.11319616067128939,0.0056330090896460835,0.00039591266402563927,2.565652472843261e-05
-0.03478957915831663,0.11597773209530012,0.005827360924325116,0.0004104093630985239,2.661057251473412e-05
-0.0344689378757515,0.11883614634341344,0.006030021826748051,0.00042557279633637947,2.7609332837701444e-05
-0.03414829659318637,0.12177358700297145,0.0062414138236981795,0.0004414399364770104,2.8655341233184876e-05
-0.03382765531062124,0.12479229173783495,0.0064619836565832905,0.0004580501593547237,2.975130239010104e-05
-0.03350701402805611,0.12789455268978644,0.006692204412224558,0.00047544542321034867,3.090010315594152e-05
-0.03318637274549098,0.1310827167852211,0.006932577272600453,0.0004936704631182668,3.210482667675619e-05
-0.032865731462925846,0.13435918593637486,0.00718363339297425,0.0005127730019523716,3.336876778250627e-05
-0.03254509018036072,0.137726417125539,0.0074459359186313115,0.0005328039794605151,3.46954497407058e-05
-0.03222444889779559,0.14118692235986877,0.007720082151321648,0.0005538178011815235,3.6088642514734875e-05
-0.031903807615230456,0.14474326848350927,0.008006705877448946,0.00057587260912217,3.7552382678288243e-05
-0.03158316633266533,0.14839807683283862,0.008306479871077233,0.0005990305763160895,3.909099515434396e-05
-0.031262525050100194,0.15215402271965975,0.008620118585948406,0.0006233582276150531,4.070911696603435e-05
-0.030941883767535067,0.15601383472616792,0.00894838105192444,0.0006489267893183941,4.2411723208161574e-05
-0.03062124248496994,0.15998029379447368,0.009292073992599218,0.0006758125705321434,4.420415547213692e-05
-0.030300601202404805,0.16405623209237985,0.009652055182272391,0.000704097379469412,4.6092152984208525e-05
-0.029979959919839677,0.1682445316359908,0.010029237062055085,0.000733868978262398,4.808188674739764e-05
-0.029659318637274543,0.17254812264858785,0.01042459063659436,0.0007652215802589874,5.017999701207351e-05
-0.029338677354709415,0.17696998163402167,0.010839149674771613,0.000798256394229244,5.239363443912166e-05
-0.029018036072144288,0.18151312914167947,0.011274015239763988,0.0008330822204157668,5.4730505363847876e-05
-0.028697394789579153,0.1861806271988626,0.011730360576070298,0.0008698161039344005,5.719892161885363e-05
-0.028376753507014026,0.19097557638518775,0.01220943638350834,0.0009085840516771201,5.9807855430984076e-05
-0.02805611222444889,0.19590111252239822,0.0127125765108056,0.0009495218195968153,6.256699997208804e-05
-0.027735470941883764,0.20096040295174447,0.013241204104245506,0.0009927757780757997,6.548683621690135e-05
-0.027414829659318636,0.20615664236990397,0.0137968382499154,0.0010385038640094225,6.857870684522239e-05
-0.0270941883767535,0.21149304819322925,0.014381101151446416,0.0010868766292882392,7.185489802126409e-05
-0.026773547094188374,0.21697285541899886,0.014995725888760482,0.0011380783965544814,7.532872999247644e-05
-0.02645290581162324,0.22259931095128443,0.015642564807263507,0.0011923085344612528,7.90146575753786e-05
-0.026132264529058112,0.22837566735806292,0.016323598591165077,0.0012497828661992836,8.292838173952714e-05
-0.025811623246492985,0.2343051760253352,0.01704094607918504,0.001310735226803381,8.70869736656267e-05
-0.02549098196392785,0.24039107967325188,0.017796874885842695,0.0013754191867401998,9.15090128433969e-05
-0.025170340681362723,0.24663660419865008,0.018593812896831992,0.0014441099615468884,9.621474099322966e-05
-0.024849699398797588,0.2530449498079885,0.019434360712683105,0.0015171065298790673,0.00010122623384767332
-0.02452905811623246,0.2596192814044368,0.02032130512100636,0.00159473398528507,0.00010656759312002994
-0.024208416833667333,0.26636271819293217,0.021257633684118607,0.0016773461504091948,0.00011226516132454458
-0.0238877755511022,0.2732783224673029,0.022246550535764402,0.0017653284862059583,0.00011834776250372232
-0.02356713426853707,0.2803690875441976,0.023291493487960623,0.0018591013331982948,0.00012484697237266334
-0.023246492985971937,0.28763792480956263,0.02439615255669419,0.001959123526926009,0.0001317974219191846
-0.02292585170340681,0.2950876498447776,0.02556449002325976,0.0020658964356131196,0.00013923713911526738
-0.02260521042084168,0.3027209676014473,0.026800762156390563,0.0021799684748589443,0.00014720793411604905
-0.022284569138276547,0.310540456596178,0.028109542728939205,0.0023019401619743,0.00015575583416635013
-0.02196392785571142,0.3185485520995962,0.029495748471610756,0.002432469781613141,0.00016493157542459122
-0.021643286573146285,0.32674752829738507,0.03096466661500883,0.002572279744794246,0.0001747911600776824
-0.021322645290581158,0.33513947940531863,0.03252198467984462,0.002722163735505387,0.00018539648849146074
-0.02100200400801603,0.34372629972517665,0.034173822683361874,0.0028829947531162836,0.00019681607776002685
-0.020681362725450896,0.35250966263413064,0.0359267679375444,0.003055734175128311,0.00020912587993291776
-0.020360721442885768,0.3614909985067233,0.03778791262113327,0.00324144198375301,0.00022241021547115427
-0.020040080160320634,0.3706714715759903,0.039764894312410315,0.0034412883219031836,0.00023676284018451772
-0.019719438877755506,0.38005195574862555,0.041865939672515146,0.003656566569952724,0.0002522881671218513
-0.01939879759519038,0.3896330093984704,0.044099911469026996,0.003888708164730219,0.0002691026687327368
-0.019078156312625244,0.3994148491729564,0.046476359125739615,0.004139299417435569,0.00028733648922646003
-0.018757515030060117,0.4093973228586095,0.0490055729758852,0.004410100628435223,0.00030713530258793566
-0.01843687374749499,0.41957988136423224,0.05169864238114633,0.004703067845303304,0.0003286624583743597
-0.018116232464929855,0.4299615498940222,0.05456751785597061,0.005020377667345712,0.00035210146546404785
-0.017795591182364727,0.440540898397615,0.0576250773039603,0.005364455566739055,0.00037765887367534914
-0.0174749498997996,0.4513160113998513,0.060885196428016014,0.0057380082752022015,0.00040556762501205797
-0.017154308617234465,0.46228445732991613,0.06436282331554624,0.006144060878021971,0.00043609096071500693
-0.01683366733466933,0.47344325748737415,0.06807405712094894,0.00658599936693224,0.00046952698792679794
-0.01651302605210421,0.48478885480133393,0.07203623066558075,0.007067619532963675,0.0005062140313888192
-0.016192384769539075,0.49631708255858925,0.07626799664568873,0.0075931832337120435,0.0005465369221752638
-0.01587174348697394,0.5080231332967623,0.08078941697557637,0.008167483251007938,0.0005909344082837846
-0.015551102204408807,0.5199015280792292,0.08562205458997345,0.00879591817004701,0.0006399079125484091
-0.015230460921843686,0.5319460863896242,0.09078906677850188,0.009484578965982473,0.0006940319138681188
-0.014909819639278551,0.5441498969048053,0.09631529881755685,0.0102403492862719,0.000753966290790629
-0.014589178356713417,0.5565052894260439,0.10222737629096076,0.01107102177550379,0.0008204710454585396
-0.014268537074148296,0.5690038082685666,0.10855379403946055,0.0119854332143095,0.0008944239252262969
-0.013947895791583162,0.5816361874290765,0.11532499913850458,0.012993621747245453,0.0009768415846358133
-0.013627254509018027,0.5943923278691102,0.1225734646610102,0.014107010069958046,0.0010689050894095052
-0.013306613226452907,0.6072612772686892,0.13033375022378932,0.015338619149101219,0.001171990766554161
-0.012985971943887772,0.620231212619164,0.1386425444298623,0.01670331787667701,0.001287707663599199
-0.012665330661322638,0.6332894260360188,0.14753868329205772,0.018218115032422936,0.001417943212705867
-0.012344689378757503,0.6464223141811739,0.15706313754633675,0.01990250106292803,0.0015649191249241842
